Symbol,Date,Time,Open,High,Low,Close
MNQ2022Z,06/12/2022,1448,11561,11571.25,11560.5,11569.25
MNQ2022Z,06/12/2022,1449,11569.25,11578.75,11567.75,11573.5
MNQ2022Z,06/12/2022,1450,11573.5,11579,11558.75,11574.75
MNQ2022Z,06/12/2022,1451,11574.25,11578.75,11566,11569.5
MNQ2022Z,06/12/2022,1452,11570.5,11577,11569.5,11573.5
MNQ2022Z,06/12/2022,1453,11573.5,11575.75,11565,11567.25
MNQ2022Z,06/12/2022,1454,11567.5,11575.25,11564.25,11564.75
MNQ2022Z,06/12/2022,1455,11565,11574.75,11563.25,11567
MNQ2022Z,06/12/2022,1456,11567,11567.25,11550.25,11553.75
MNQ2022Z,06/12/2022,1457,11554,11561.75,11554,11557.5
MNQ2022Z,06/12/2022,1458,11557.5,11562.5,11554.25,11557.5
MNQ2022Z,06/12/2022,1459,11557.5,11569.75,11555.25,11566
MNQ2022Z,06/12/2022,1500,11562.5,11569.5,11556.25,11558.5
MNQ2022Z,06/12/2022,1501,11558.5,11559.75,11553.5,11556.5
MNQ2022Z,06/12/2022,1502,11556.75,11559.75,11556.25,11558
MNQ2022Z,06/12/2022,1503,11557.75,11559,11554.25,11557.5
MNQ2022Z,06/12/2022,1504,11558.25,11560.5,11556,11557
MNQ2022Z,06/12/2022,1505,11557.5,11561.75,11556.5,11560.25
MNQ2022Z,06/12/2022,1506,11560.25,11563.25,11559,11561.25
MNQ2022Z,06/12/2022,1507,11561.75,11565,11561,11564.5
MNQ2022Z,06/12/2022,1508,11564.25,11565.75,11562.5,11564.25
MNQ2022Z,06/12/2022,1509,11564.25,11567.5,11564.25,11565.25
MNQ2022Z,06/12/2022,1510,11565,11568.25,11564.75,11567.25
MNQ2022Z,06/12/2022,1511,11566.75,11572.25,11566,11569
MNQ2022Z,06/12/2022,1512,11568.75,11570,11565.75,11569.75
MNQ2022Z,06/12/2022,1513,11569.75,11571,11563.5,11568.5
MNQ2022Z,06/12/2022,1514,11568,11568,11559.5,11561
MNQ2022Z,06/12/2022,1515,11560.5,11562.75,11560,11562.5
MNQ2022Z,06/12/2022,1516,11562.25,11563.25,11562,11562.75
MNQ2022Z,06/12/2022,1517,11563,11563,11561.75,11561.75
MNQ2022Z,06/12/2022,1518,11561.5,11563.25,11561.25,11561.75
MNQ2022Z,06/12/2022,1519,11562.25,11563.5,11561.5,11563.5
MNQ2022Z,06/12/2022,1520,11563,11563,11560.5,11561.75
MNQ2022Z,06/12/2022,1521,11562.25,11562.5,11561,11562
MNQ2022Z,06/12/2022,1522,11562,11562,11559.25,11559.25
MNQ2022Z,06/12/2022,1523,11560.25,11562,11559.75,11560.5
MNQ2022Z,06/12/2022,1524,11560.5,11561.5,11559.75,11561
MNQ2022Z,06/12/2022,1525,11560.75,11561.75,11560,11560.25
MNQ2022Z,06/12/2022,1526,11561,11563.75,11561,11562.25
MNQ2022Z,06/12/2022,1527,11562.25,11562.5,11561,11561.5
MNQ2022Z,06/12/2022,1528,11561.5,11561.5,11560.25,11560.5
MNQ2022Z,06/12/2022,1529,11560.75,11561.5,11560,11560.75
MNQ2022Z,06/12/2022,1530,11560.75,11561.5,11557.5,11558.25
MNQ2022Z,06/12/2022,1531,11558.5,11558.5,11556.75,11558
MNQ2022Z,06/12/2022,1532,11558.25,11564,11558.25,11560.5
MNQ2022Z,06/12/2022,1533,11560.25,11560.5,11558.5,11559.5
MNQ2022Z,06/12/2022,1534,11559.75,11561.25,11559,11561
MNQ2022Z,06/12/2022,1535,11560.5,11561.25,11557.75,11559.25
MNQ2022Z,06/12/2022,1536,11559.25,11561,11558.75,11560
MNQ2022Z,06/12/2022,1537,11560.25,11561.5,11559.5,11560.25
MNQ2022Z,06/12/2022,1538,11560.25,11560.25,11558.25,11558.25
MNQ2022Z,06/12/2022,1539,11558.5,11560.5,11558.5,11560
MNQ2022Z,06/12/2022,1540,11560.25,11560.5,11559.5,11560.5
MNQ2022Z,06/12/2022,1541,11560.5,11561.75,11559.75,11560.5
MNQ2022Z,06/12/2022,1542,11560.75,11561.75,11560.25,11560.75
MNQ2022Z,06/12/2022,1543,11560.25,11563.5,11560.25,11562.75
MNQ2022Z,06/12/2022,1544,11563.5,11564.25,11562.25,11563.5
MNQ2022Z,06/12/2022,1545,11563.25,11567,11563.25,11565.25
MNQ2022Z,06/12/2022,1546,11565.75,11566.5,11565,11565.5
MNQ2022Z,06/12/2022,1547,11566,11566.5,11564.5,11564.5
MNQ2022Z,06/12/2022,1548,11565,11566.5,11564.5,11566.25
MNQ2022Z,06/12/2022,1549,11566,11568.25,11566,11568
MNQ2022Z,06/12/2022,1550,11568,11568.5,11565,11568
MNQ2022Z,06/12/2022,1551,11568.25,11568.25,11567.25,11567.75
MNQ2022Z,06/12/2022,1552,11567.25,11567.75,11566.25,11566.75
MNQ2022Z,06/12/2022,1553,11567.25,11567.25,11565.25,11566.5
